Tracy Jumel,6 International Point,Norfolk,Virginia,23514,3573624047365331
Irina Allchorne,8 Fairfield Court,Columbia,South Carolina,29220,5207434199975740
Dianne Annett,230 Namekagon Trail,Richmond,Virginia,23242,5123407842694679
Cayla Gilcriest,7 Continental Avenue,New York City,New York,10105,56022299483961714
Maggi Neesham,00197 Autumn Leaf Terrace,Dayton,Ohio,45454,3567481533571213
Cheryl Dearn,07456 Shoshone Circle,Seattle,Washington,98109,5002351486483518
Jilleen Ciccone,68598 American Junction,North Port,Florida,34290,3536380806990662
Hertha O'Doireidh,607 Shelley Junction,Decatur,Georgia,30033,5602224533893352250
Harv Melloy,661 Division Road,Charlotte,North Carolina,28278,676382854281178520
Heida Gaiford,012 Truax Terrace,Norfolk,Virginia,23504,3557526364129747
